,_id,stratmed_sku,brand_code,brand_name,category,committed_volume,dose_size,dpco_list,form,generic_name,group,gst,manufacturer_code,mrp,price_effective_from_date,price_effective_to_date,purchase_price_w_gst,remarks,roa,status,subcategory,therapy_code,unit_per_pack,uom_pack_type,business_unit,dpco_ceiling_price,hsn_code,innovator_brand,marketed_by,therapy_name,group_name,manufacturer_name,category_name,subcategory_name,form_name,roa_name,created_by,created_date,unit_per_pack_num,update_date,updated_by,1m_mfg_name,generic_code,combined
3809,600875F916802C03E8AE8A89,104686,NAN,NOVELON TAB,CAT100,NAN,0.15MG+0.03MG,NO,FOR102,DESOGESTREL+ETHINYL ESTRADIOL,GRP219,12,SMMFG00024-02,218.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,ORGANON INDIA LTD,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,ORGANON INDIA LTD,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESOGESTREL+ETHINYL ESTRADIOL_TABLETS_0.15MG+0.03MG_ORGANON INDIA LTD_NOVELON TAB_21
3810,600875F916802C03E8AE8A8A,104687,NAN,FEMILON TAB,CAT100,NAN,0.15MG+0.02MG,NO,FOR102,DESOGESTREL+ETHINYL ESTRADIOL,GRP219,12,SMMFG00024-02,250.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,ORGANON INDIA LTD,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,ORGANON INDIA LTD,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESOGESTREL+ETHINYL ESTRADIOL_TABLETS_0.15MG+0.02MG_ORGANON INDIA LTD_FEMILON TAB_21
3817,600875F916802C03E8AE8A92,104695,NAN,KRIMSON 35 TAB,CAT100,NAN,2MG+0.035MG,NO,FOR102,CYPROTERONE+ETHINYL ESTRADIOL,GRP219,12,SMMFG00012-01,358.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,SUN PHARMA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CYPROTERONE+ETHINYL ESTRADIOL_TABLETS_2MG+0.035MG_SUN PHARMA_KRIMSON 35 TAB_21
3840,600875F916802C03E8AE8AA9,104718,NAN,YASMIN TAB,CAT100,NAN,3MG+0.03MG,NO,FOR102,DROSPIRENONE+ETHINYL ESTRADIOL,GRP219,12,SMMFG00062-01,498.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,BAYER ZYDUS PHARMA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,BAYER ZYDUS PHARMA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DROSPIRENONE+ETHINYL ESTRADIOL_TABLETS_3MG+0.03MG_BAYER ZYDUS PHARMA_YASMIN TAB_21
3864,600875F916802C03E8AE8AC4,104745,NAN,GINETTE 35 TAB,CAT100,NAN,2MG+0.035MG,NO,FOR102,CYPROTERONE+ETHINYL ESTRADIOL,GRP219,12,SMMFG00010-01,326.02,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,CIPLA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,CIPLA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CYPROTERONE+ETHINYL ESTRADIOL_TABLETS_2MG+0.035MG_CIPLA_GINETTE 35 TAB_21
3963,600875F916802C03E8AE8B39,104862,NAN,FREEDASE 30 TAB,CAT100,NAN,30MCG+2MG,NO,FOR102,DIENOGEST+ETHINYL ESTRADIOL,GRP219,12,SMMFG00012-01,480.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,SUN PHARMA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DIENOGEST+ETHINYL ESTRADIOL_TABLETS_30MCG+2MG_SUN PHARMA_FREEDASE 30 TAB_21
3976,600875F916802C03E8AE8B4A,104879,NAN,YAZ TAB,CAT100,NAN,3MG+0.02MG,NO,FOR102,DROSPIRENONE+ETHINYL ESTRADIOL,GRP219,12,SMMFG00062-01,440.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,28,STRIP,NAN,NAN,NAN,NO,BAYER ZYDUS PHARMA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,BAYER ZYDUS PHARMA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DROSPIRENONE+ETHINYL ESTRADIOL_TABLETS_3MG+0.02MG_BAYER ZYDUS PHARMA_YAZ TAB_28
3991,600875F916802C03E8AE8B5D,104898,NAN,OVULOC LD TAB,CAT100,NAN,0.15MG+0.02MG,NO,FOR102,DESOGESTREL+ETHINYL ESTRADIOL,GRP219,12,SMMFG00412-01,153.4,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,SERUM INSTITUTE,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,SERUM INSTITUTE,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESOGESTREL+ETHINYL ESTRADIOL_TABLETS_0.15MG+0.02MG_SERUM INSTITUTE_OVULOC LD TAB_21
4121,600875F916802C03E8AE8BFB,105056,NAN,OMNACORTIL 20 MG TAB,CAT100,NAN,20MG,NO,FOR102,PREDNISOLONE,GRP316,12,SMMFG00013-01,21.7,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC119,STH117,10,STRIP,NAN,NAN,NAN,NO,MACLEODS PHARMA,ENDOCRINOLOGY,SYS.CORTICOSTEROIDS PL.,MACLEODS PHARMA,PHARMA,HORMONES & STEROIDS,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,PREDNISOLONE_TABLETS_20MG_MACLEODS PHARMA_OMNACORTIL 20 MG TAB_10
4169,600875F916802C03E8AE8C3B,105120,NAN,MEPRESSO D 40 MG INJ,CAT100,NAN,40MG,NO,FOR105,METHYLPREDNISOLONE,GRP316,12,SMMFG00027-01,50.1,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC119,STH117,1,VIAL,NAN,NAN,NAN,NO,INTAS PHARMA,ENDOCRINOLOGY,SYS.CORTICOSTEROIDS PL.,INTAS PHARMA,PHARMA,HORMONES & STEROIDS,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,METHYLPREDNISOLONE_INJECTIONS_40MG_INTAS PHARMA_MEPRESSO D 40 MG INJ_1
4193,600875F916802C03E8AE8C61,105158,NAN,MYPRED 40 MG INJ,CAT100,NAN,40MG,NO,FOR105,METHYLPREDNISOLONE,GRP316,12,SMMFG01068-01,52.6,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC119,STH117,1,VIAL,NAN,NAN,NAN,NO,SAMARTH LIFE SCIENCE,ENDOCRINOLOGY,SYS.CORTICOSTEROIDS PL.,SAMARTH LIFE SCIENCE,PHARMA,HORMONES & STEROIDS,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,METHYLPREDNISOLONE_INJECTIONS_40MG_SAMARTH LIFE SCIENCE_MYPRED 40 MG INJ_1
4308,600875F916802C03E8AE8CE1,105286,NAN,SYNDOPA PLUS TAB,CAT100,NAN,25MG+100MG,NO,FOR102,CARBIDOPA+LEVODOPA,GRP152,12,SMMFG00012-01,37.12,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC109,STH104,10,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,CENTRAL NERVOUS SYSTEM DISORDERS,ANTIPARKINSON DRUGS,SUN PHARMA,PHARMA,NEUROLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CARBIDOPA+LEVODOPA_TABLETS_25MG+100MG_SUN PHARMA_SYNDOPA PLUS TAB_10
4354,600875F916802C03E8AE8D19,105342,NAN,GABANEURON TAB,CAT100,NAN,300MG+500MCG,NO,FOR102,GABAPENTIN+METHYLCOBALAMIN,GRP136,12,SMMFG00002-01,140.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC109,STH104,10,STRIP,NAN,NAN,NAN,NO,ARISTO PHARMA,CENTRAL NERVOUS SYSTEM DISORDERS,ANTIEPILEPTICS,ARISTO PHARMA,PHARMA,NEUROLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,GABAPENTIN+METHYLCOBALAMIN_TABLETS_300MG+500MCG_ARISTO PHARMA_GABANEURON TAB_10
4388,600875F916802C03E8AE8D42,105383,NAN,NUROKIND G TAB,CAT100,NAN,300MG+500MCG,NO,FOR102,GABAPENTIN+METHYLCOBALAMIN,GRP136,12,SMMFG00004-01,129.9,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC109,STH104,10,STRIP,NAN,NAN,NAN,NO,MANKIND,CENTRAL NERVOUS SYSTEM DISORDERS,ANTIEPILEPTICS,MANKIND,PHARMA,NEUROLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,GABAPENTIN+METHYLCOBALAMIN_TABLETS_300MG+500MCG_MANKIND_NUROKIND G TAB_10
4444,600875F916802C03E8AE8D82,105447,NAN,GABANTIN FORTE TAB,CAT100,NAN,300MG+500MCG,NO,FOR102,GABAPENTIN+METHYLCOBALAMIN,GRP136,12,SMMFG00012-01,189.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC109,STH104,10,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,CENTRAL NERVOUS SYSTEM DISORDERS,ANTIEPILEPTICS,SUN PHARMA,PHARMA,NEUROLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,GABAPENTIN+METHYLCOBALAMIN_TABLETS_300MG+500MCG_SUN PHARMA_GABANTIN FORTE TAB_10
