,_id,stratmed_sku,brand_code,brand_name,category,committed_volume,dose_size,dpco_list,form,generic_name,group,gst,manufacturer_code,mrp,price_effective_from_date,price_effective_to_date,purchase_price_w_gst,remarks,roa,status,subcategory,therapy_code,unit_per_pack,uom_pack_type,business_unit,dpco_ceiling_price,hsn_code,innovator_brand,marketed_by,therapy_name,group_name,manufacturer_name,category_name,subcategory_name,form_name,roa_name,created_by,created_date,unit_per_pack_num,update_date,updated_by,1m_mfg_name,generic_code,combined
1322,600875F716802C03E8AE7F17,101753,NAN,LORTINIL TZ INJ,CAT100,NAN,1000MG+125MG,NO,FOR105,CEFTAZIDIME+TAZOBACTUM,GRP183,12,SMMFG00037-01,413.0,NAN,NAN,NAN,NAN,ROA103,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,VERITAZ HEALTHCARE,ANTI-INFECTIVES & INFECTIOUS DISEASES,CEPHALOSPORINS,VERITAZ HEALTHCARE,PHARMA,ANTI-INFECTIVES,INJECTIONS,PARENTERAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CEFTAZIDIME+TAZOBACTUM_INJECTIONS_1000MG+125MG_LORTINIL TZ INJ_1_413.0
2643,600875F816802C03E8AE857C,103390,NAN,KZ PLUS LOTION 75 ML,CAT100,NAN,2%W/V+1%W/V,NO,FOR138,KETOCONAZOLE+ZINC PYRITHIONE,GRP217,12,SMMFG00043-01,349.0,NAN,NAN,NAN,NAN,ROA101,ACTIVE,SUBC110,STH109,1,BOTTLE,NAN,NAN,NAN,NO,HEGDE & HEGDE,DERMATOLOGY,HAIR CARE/ANTIDANDRUFF PREP.,HEGDE & HEGDE,PHARMA,DERMATOLOGY,LOTIONS,TOPICAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,KETOCONAZOLE+ZINC PYRITHIONE_LOTIONS_2%W/V+1%W/V_KZ PLUS LOTION 75 ML_1_349.0
3621,600875F916802C03E8AE89AB,104464,NAN,DOMSTAL 10 MG DT TAB,CAT100,NAN,10MG,NO,FOR111,DOMPERIDONE,GRP134,12,SMMFG00018-01,39.5,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC102,STH102,10,STRIP,NAN,NAN,NAN,NO,TORRENT PHARMA,GASTROENTEROLOGY,ANTIEMET.-ANTINAUS SOL.,TORRENT PHARMA,PHARMA,GASTROENTEROLOGY,TABLETS-DT,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DOMPERIDONE_TABLETS-DT_10MG_DOMSTAL 10 MG DT TAB_10_39.5
3809,600875F916802C03E8AE8A89,104686,NAN,NOVELON TAB,CAT100,NAN,0.15MG+0.03MG,NO,FOR102,DESOGESTREL+ETHINYL ESTRADIOL,GRP219,12,SMMFG00024-02,218.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,ORGANON INDIA LTD,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,ORGANON INDIA LTD,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESOGESTREL+ETHINYL ESTRADIOL_TABLETS_0.15MG+0.03MG_NOVELON TAB_21_218.0
3810,600875F916802C03E8AE8A8A,104687,NAN,FEMILON TAB,CAT100,NAN,0.15MG+0.02MG,NO,FOR102,DESOGESTREL+ETHINYL ESTRADIOL,GRP219,12,SMMFG00024-02,250.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,ORGANON INDIA LTD,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,ORGANON INDIA LTD,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESOGESTREL+ETHINYL ESTRADIOL_TABLETS_0.15MG+0.02MG_FEMILON TAB_21_250.0
3817,600875F916802C03E8AE8A92,104695,NAN,KRIMSON 35 TAB,CAT100,NAN,2MG+0.035MG,NO,FOR102,CYPROTERONE+ETHINYL ESTRADIOL,GRP219,12,SMMFG00012-01,358.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,SUN PHARMA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CYPROTERONE+ETHINYL ESTRADIOL_TABLETS_2MG+0.035MG_KRIMSON 35 TAB_21_358.0
3864,600875F916802C03E8AE8AC4,104745,NAN,GINETTE 35 TAB,CAT100,NAN,2MG+0.035MG,NO,FOR102,CYPROTERONE+ETHINYL ESTRADIOL,GRP219,12,SMMFG00010-01,326.02,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,CIPLA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,CIPLA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CYPROTERONE+ETHINYL ESTRADIOL_TABLETS_2MG+0.035MG_GINETTE 35 TAB_21_326.02
3963,600875F916802C03E8AE8B39,104862,NAN,FREEDASE 30 TAB,CAT100,NAN,30MCG+2MG,NO,FOR102,DIENOGEST+ETHINYL ESTRADIOL,GRP219,12,SMMFG00012-01,480.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,SUN PHARMA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DIENOGEST+ETHINYL ESTRADIOL_TABLETS_30MCG+2MG_FREEDASE 30 TAB_21_480.0
3991,600875F916802C03E8AE8B5D,104898,NAN,OVULOC LD TAB,CAT100,NAN,0.15MG+0.02MG,NO,FOR102,DESOGESTREL+ETHINYL ESTRADIOL,GRP219,12,SMMFG00412-01,153.4,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,21,STRIP,NAN,NAN,NAN,NO,SERUM INSTITUTE,GYNAECOLOGY,HORMO.CONTRACEP.NONTOP.,SERUM INSTITUTE,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,DESOGESTREL+ETHINYL ESTRADIOL_TABLETS_0.15MG+0.02MG_OVULOC LD TAB_21_153.4
4064,600875F916802C03E8AE8BB3,104984,NAN,PROGYNOVA 2 MG TAB,CAT100,NAN,2MG,NO,FOR102,ESTRADIOL,GRP252,12,SMMFG00062-01,456.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC100,STH100,28,STRIP,NAN,NAN,NAN,NO,BAYER ZYDUS PHARMA,GYNAECOLOGY,OESTROGENS & SIMI.COMB.,BAYER ZYDUS PHARMA,PHARMA,GYNAECOLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,ESTRADIOL_TABLETS_2MG_PROGYNOVA 2 MG TAB_28_456.0
4444,600875F916802C03E8AE8D82,105447,NAN,GABANTIN FORTE TAB,CAT100,NAN,300MG+500MCG,NO,FOR102,GABAPENTIN+METHYLCOBALAMIN,GRP136,12,SMMFG00012-01,189.0,NAN,NAN,NAN,NAN,ROA102,ACTIVE,SUBC109,STH104,10,STRIP,NAN,NAN,NAN,NO,SUN PHARMA,CENTRAL NERVOUS SYSTEM DISORDERS,ANTIEPILEPTICS,SUN PHARMA,PHARMA,NEUROLOGY,TABLETS,ORAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,GABAPENTIN+METHYLCOBALAMIN_TABLETS_300MG+500MCG_GABANTIN FORTE TAB_10_189.0
5324,600875FA16802C03E8AE919F,106501,NAN,IBIFLO S 250 NEXHALER,CAT100,NAN,250MCG+25MCG,NAN,FOR152,FLUTICASONE PROPIONATE+SALMETEROL,GRP174,12,SMMFG00044-01,697.0,NAN,NAN,NAN,NAN,ROA104,ACTIVE,SUBC104,STH106,1,PIECE,NAN,NAN,NAN,NO,NAN,RESPIRATORY ILLNESSES AND DISEASES,BRONCHODIL.INHALANT PREP.,INDIABULLS PHARMA,PHARMA,PULMONOLOGY,INHALERS,INHALATIONAL,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FLUTICASONE PROPIONATE+SALMETEROL_INHALERS_250MCG+25MCG_IBIFLO S 250 NEXHALER_1_697.0
6938,600875FB16802C03E8AE98BC,109222,NAN,STAPLE REMOVER,CAT101,NAN,NAN,NAN,FOR154,SURGICAL STAPLE REMOVER,GRP480,0,SMMFG02222-01,0.001,NAN,NAN,NAN,NAN,ROA110,ACTIVE,SUBC129,STH121,1,PIECE,NAN,NAN,NAN,NO,LOCAL,GENERAL SURGERY,SURGICAL STAPLE REMOVER,LOCAL,CONSUMABLES,OT CONSUMABLES,NOT APPLICABLE,NOT APPLICABLE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,SURGICAL STAPLE REMOVER_NOT APPLICABLE_NAN_STAPLE REMOVER_1_0.001
7037,600875FB16802C03E8AE9932,109433,NAN,AUGMENTIN 1.2 GM INJ,CAT100,NAN,1000MG+200MG,NO,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00001-01,140.22,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,GLAXOSMITHKLINE,PHARMA,ANTI-INFECTIVES,INJECTIONS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_1000MG+200MG_AUGMENTIN 1.2 GM INJ_1_140.22
8856,600875FC16802C03E8AEA096,111325,NAN,ADVENT 600 MG INJ,CAT100,NAN,500MG+100MG,NO,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,98.67,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_500MG+100MG_ADVENT 600 MG INJ_1_98.67
8903,600875FC16802C03E8AEA0C6,111373,NAN,AMCRYLATE BIO ADHESIVE 0.25 ML,CAT100,NAN,NAN,NO,FOR105,ISO AMYL 2-CYNOACRYLATE,GRP286,12,SMMFG01615-01,500.0,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,NAN,ROA100,ACTIVE,SUBC114,STH107,1,AMPOULE,NAN,NAN,NAN,NO,CONCORD DRUGS,OTHERS,OTHERS,CONCORD DRUGS,PHARMA,OTHERS,INJECTIONS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,ISO AMYL 2-CYNOACRYLATE_INJECTIONS_NAN_AMCRYLATE BIO ADHESIVE 0.25 ML_1_500.0
10012,600875FD16802C03E8AEA52D,112500,NAN,ADVENT 300 MG INJ,CAT100,NAN,250MG+50MG,NO,FOR105,AMOXYCILLIN+CLAVULANIC ACID,GRP114,12,SMMFG00010-01,87.72,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC103,STH103,1,VIAL,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,AMPICILLIN/AMOXYCILLIN,CIPLA,PHARMA,ANTI-INFECTIVES,INJECTIONS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMOXYCILLIN+CLAVULANIC ACID_INJECTIONS_250MG+50MG_ADVENT 300 MG INJ_1_87.72
11338,600875FD16802C03E8AEAA65,113836,NAN,ANTISCAB LOTION,CAT100,NAN,0.1%W/V+1%W/V,NO,FOR138,CETRIMIDE+LINDANE,GRP308,12,SMMFG01666-01,40.0,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC110,STH109,1,BOTTLE,NAN,NAN,NAN,NO,NAN,DERMATOLOGY,SCABICIDES,SCOTT EDIL PHARMACIA,PHARMA,DERMATOLOGY,LOTIONS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CETRIMIDE+LINDANE_LOTIONS_0.1%W/V+1%W/V_ANTISCAB LOTION_1_40.0
12482,600875FE16802C03E8AEAEE7,114990,NAN,AMCRYLATE BIO ADHESIVE 0.25 ML,CAT100,NAN,NAN,NO,FOR105,ISO AMYL 2-CYNOACRYLATE,GRP286,12,SMMFG01615-01,500.0,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,NAN,ROA100,ACTIVE,SUBC114,STH107,1,AMPOULE,NAN,NAN,NAN,NO,CONCORD DRUGS,OTHERS,OTHERS,CONCORD DRUGS,PHARMA,OTHERS,INJECTIONS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,ISO AMYL 2-CYNOACRYLATE_INJECTIONS_NAN_AMCRYLATE BIO ADHESIVE 0.25 ML_1_500.0
18723,6008760016802C03E8AEC78E,121301,NAN,ANTISCAB LOTION,CAT100,NAN,0.1%W/V+1%W/V,NO,FOR138,CETRIMIDE+LINDANE,GRP308,12,SMMFG04085-01,40.0,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC110,STH109,1,BOTTLE,NAN,NAN,NAN,NO,NAN,DERMATOLOGY,SCABICIDES,MANDAR PHARMACEUTICALS PVT LTD,PHARMA,DERMATOLOGY,LOTIONS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CETRIMIDE+LINDANE_LOTIONS_0.1%W/V+1%W/V_ANTISCAB LOTION_1_40.0
26825,6008760416802C03E8AEE7CE,129557,NAN,BIOCHEMDRYL SYP 100 ML,CAT100,NAN,NAN,NO,FOR104,AMMONIUM CHLORIDE+DIPHENHYDRAMINE+MENTHOL,GRP286,12,SMMFG01064-01,115.1,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC114,STH107,1,BOTTLE,NAN,NAN,NAN,NO,NAN,OTHERS,OTHERS,BIOCHEM PHARMACEUTICAL,PHARMA,OTHERS,SYRUPS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMMONIUM CHLORIDE+DIPHENHYDRAMINE+MENTHOL_SYRUPS_NAN_BIOCHEMDRYL SYP 100 ML_1_115.1
27559,6008760416802C03E8AEEAC3,130314,NAN,BENZOLE TAB,CAT100,NAN,NAN,NO,FOR102,ALBENDAZOLE+IVERMECTIN,GRP120,12,SMMFG00377-01,1.43,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC103,STH103,1,STRIP,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,ANTHELMINTICS EX.SCHIS.,FLAMINGO PHARMA,PHARMA,ANTI-INFECTIVES,TABLETS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,ALBENDAZOLE+IVERMECTIN_TABLETS_NAN_BENZOLE TAB_1_1.43
28482,6008760516802C03E8AEEE6C,131251,NAN,BENZOLE TAB,CAT100,NAN,NAN,NO,FOR102,ALBENDAZOLE+IVERMECTIN,GRP120,12,SMMFG00377-01,1.43,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC103,STH103,1,STRIP,NAN,NAN,NAN,NO,NAN,ANTI-INFECTIVES & INFECTIOUS DISEASES,ANTHELMINTICS EX.SCHIS.,FLAMINGO PHARMA,PHARMA,ANTI-INFECTIVES,TABLETS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,ALBENDAZOLE+IVERMECTIN_TABLETS_NAN_BENZOLE TAB_1_1.43
28554,6008760516802C03E8AEEEB5,131324,NAN,BIOCHEMDRYL SYP 100 ML,CAT100,NAN,NAN,NO,FOR104,AMMONIUM CHLORIDE+DIPHENHYDRAMINE+MENTHOL,GRP286,12,SMMFG01064-01,115.1,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC114,STH107,1,BOTTLE,NAN,NAN,NAN,NO,NAN,OTHERS,OTHERS,BIOCHEM PHARMACEUTICAL,PHARMA,OTHERS,SYRUPS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,AMMONIUM CHLORIDE+DIPHENHYDRAMINE+MENTHOL_SYRUPS_NAN_BIOCHEMDRYL SYP 100 ML_1_115.1
31108,6008760616802C03E8AEF8C9,133904,NAN,BULKY SYP 100 ML,CAT100,NAN,NAN,NO,FOR104,LACTULOSE,GRP235,12,SMMFG01246-01,76.92,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC102,STH102,1,BOTTLE,NAN,NAN,NAN,NO,NAN,GASTROENTEROLOGY,LAXATIVES,ZANEKA,PHARMA,GASTROENTEROLOGY,SYRUPS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,LACTULOSE_SYRUPS_NAN_BULKY SYP 100 ML_1_76.92
32134,6008760616802C03E8AEFCDC,134947,NAN,BULKY SYP 100 ML,CAT100,NAN,NAN,NO,FOR104,LACTULOSE,GRP235,12,SMMFG01246-01,76.92,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC102,STH102,1,BOTTLE,NAN,NAN,NAN,NO,NAN,GASTROENTEROLOGY,LAXATIVES,ZANEKA,PHARMA,GASTROENTEROLOGY,SYRUPS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,LACTULOSE_SYRUPS_NAN_BULKY SYP 100 ML_1_76.92
33245,6008760616802C03E8AF016B,136114,NAN,CHLORPROMAZINE 50 MG TAB,CAT100,NAN,50MG,NO,FOR102,CHLORPROMAZINE,GRP157,12,SMMFG01470-01,5.75,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC109,STH104,10,STRIP,NAN,NAN,NAN,NO,NAN,CENTRAL NERVOUS SYSTEM DISORDERS,ANTIPSYCHOTICS,SUN PHARMA,PHARMA,NEUROLOGY,TABLETS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CHLORPROMAZINE_TABLETS_50MG_CHLORPROMAZINE 50 MG TAB_10_5.75
36132,6008760816802C03E8AF0D0D,139092,NAN,CHLORPROMAZINE 50 MG TAB,CAT100,NAN,50MG,NO,FOR102,CHLORPROMAZINE,GRP157,12,SMMFG00014-01,5.75,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC109,STH104,10,STRIP,NAN,NAN,NAN,NO,NAN,CENTRAL NERVOUS SYSTEM DISORDERS,ANTIPSYCHOTICS,ABBOTT,PHARMA,NEUROLOGY,TABLETS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CHLORPROMAZINE_TABLETS_50MG_CHLORPROMAZINE 50 MG TAB_10_5.75
36985,6008760816802C03E8AF106F,139958,NAN,CLOPAN CREAM 30 GM,CAT100,NAN,NAN,NO,FOR113,CLOBETASOL,GRP192,12,SMMFG01268-01,80.0,1/1/1970 0:00,1/1/1970 0:00,0.0,NAN,ROA100,ACTIVE,SUBC110,STH109,1,TUBE,NAN,NAN,NAN,NO,NAN,DERMATOLOGY,CORTICOSTEROIDS PLAIN,PANZER PHARMACEUTICALS,PHARMA,DERMATOLOGY,CREAMS,OTHERS,NAN,NAN,NAN,NAN,NAN,NAN,NAN,CLOBETASOL_CREAMS_NAN_CLOPAN CREAM 30 GM_1_80.0
